pose_target_id,exercises_using_it,example_exercise_ids,status,notes
curl,114,ea_alternate_biceps_curl_resistance_band|ea_alternate_biceps_curl_standing_dumbbells|ea_alternate_hammer_curl_standing_dumbbells|ea_alternating_biceps_hammer_curl_resistance_band|ea_alternating_hamstring_curl,MAPPED,
hinge,103,ea_air_swing_running|ea_air_swing_side_to_side_swing|ea_air_swing_walking|ea_arm_swing_side_to_side|ea_band_deadlift,MAPPED,
lunge,102,ea_4_reverse_lunge_and_4_side_taps|ea_alternate_sprinter_lunge|ea_alternating_lunge_with_rotation|ea_band_single_leg_split_squat|ea_band_spanish_split_squat,MAPPED,
pushup,73,ea_ab_wheel_plank|ea_alternate_arm_leg_plank|ea_alternate_arm_leg_plank_hold|ea_alternate_arm_leg_plank_rest_pause|ea_alternate_leg_raise_from_reverse_plank_position,MAPPED,
situp,61,ea_3_4_sit_up|ea_ab_mat_sit_up|ea_abdominal_crunches|ea_abdominal_crunches_with_hold|ea_air_bike_crunch,MAPPED,
squat,37,ea_barbell_box_squat|ea_barbell_clean_grip_front_squat|ea_barbell_front_chest_squat|ea_barbell_full_squat|ea_barbell_full_squat_side_pov,MAPPED,
overhead_press,33,ea_band_behind_neck_shoulder_press|ea_band_single_arm_overhead_press|ea_barbell_behind_neck_push_press|ea_barbell_behind_the_back_push_press_single_arm_balance|ea_barbell_standing_close_grip_military_press,MAPPED,
calf_raise,17,ea_band_two_legs_calf_raise_band_under_both_legs_version_2|ea_barbell_standing_leg_calf_raises|ea_bodyweight_calf_raises|ea_bodyweight_standing_calf_raise|ea_calf_raise_clap,MAPPED,
(none),1347,,NOT_FORM_CHECKABLE,no pose target attached
