id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_ez_barbell_close_grip_curl,EZ Barbell Close Grip Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_ez_barbell_curl,EZ Barbell Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_floor_tricep_dip,Floor Tricep Dip,elbow,elbow_extension_load,tricep,,Triceps,False
ea_full_planche_push_up,Full Planche Push Up,elbow,elbow_locked_support,push up,"shoulders,chest",Chest,False
ea_hammer_curl_resistance_band_simultaneous,Hammer Curl Resistance Band Simultaneous,elbow,elbow_curl_load,hammer,"biceps,forearms",Biceps,False
ea_hammer_strength_mts_iso_lateral_biceps_curl_alternate_arm,Hammer Strength MTS Iso-lateral Biceps Curl Alternate Arm,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_hammer_strength_mts_iso_lateral_biceps_curl_arm_alternating,Hammer Strength MTS Iso-lateral Biceps Curl Arm Alternating,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_hammer_strength_mts_iso_lateral_biceps_curl_both_arm,Hammer Strength MTS Iso-lateral Biceps Curl Both Arm,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_hammer_strength_mts_iso_lateral_biceps_curl_single_arm,Hammer Strength MTS Iso-lateral Biceps Curl Single Arm,elbow,elbow_curl_load,hammer,biceps,Biceps,False
ea_handstand_push_on_chair,Handstand Push on Chair,elbow,elbow_locked_support,handstand,"shoulders,triceps",Shoulders,False
ea_high_plank,High Plank,elbow,elbow_locked_support,plank,core,Yoga,False
ea_incline_diamond_push_up_on_bench,Incline Diamond Push Up on Bench,elbow,elbow_locked_support,push up,"triceps,chest",Triceps,False
ea_incline_dumbbell_curl,Incline Dumbbell Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_incline_push_ups_on_chair,Incline Push Ups on Chair,elbow,elbow_locked_support,push ups,triceps,Triceps,False
ea_incline_push_up_on_box,Incline Push-up (on Box),elbow,elbow_locked_support,push up,chest,Chest,False
ea_kettlebell_concentration_curl,Kettlebell Concentration Curl,elbow,elbow_curl_load,concentration,,Biceps,False
ea_kettlebell_curl,Kettlebell Curl,elbow,elbow_curl_load,curl,,Biceps,False
ea_kettlebell_decline_skull_crusher,Kettlebell Decline Skull Crusher,elbow,elbow_extension_load,skull,,Triceps,False
ea_kettlebell_goblet_curl,Kettlebell Goblet Curl,elbow,elbow_curl_load,curl,,Biceps,False
ea_kettlebell_preacher_curl,Kettlebell Preacher Curl,elbow,elbow_curl_load,preacher,,Biceps,False
ea_kettlebell_single_arm_curl,Kettlebell Single Arm Curl,elbow,elbow_curl_load,curl,,Biceps,False
ea_kettlebell_skull_crusher,Kettlebell Skull Crusher,elbow,elbow_extension_load,skull,,Triceps,False
ea_kettlebell_standing_tricep_extension,Kettlebell Standing Tricep Extension,elbow,elbow_extension_load,tricep,,Triceps,False
ea_kettlebell_wrist_curl,Kettlebell Wrist Curl,elbow,elbow_curl_load,curl,,Forearms,False
ea_kipping_handstand_push_up,Kipping Handstand Push-up,elbow,elbow_locked_support,handstand,,Calisthenics-Cardio-Plyo-Functional,False
ea_kipping_pull_up,Kipping Pull Up,elbow,elbow_flexion_load,pull up,,Back,False
ea_kneeling_push_up,Kneeling Push-up,elbow,elbow_locked_support,push up,,Chest,False
ea_landmine_bicep_curl,Landmine Bicep Curl,elbow,elbow_curl_load,curl,,Biceps,False
ea_landmine_concentration_curl,Landmine Concentration Curl,elbow,elbow_curl_load,concentration,,Biceps,False
ea_landmine_lying_tricep_extension,Landmine Lying Tricep Extension,elbow,elbow_extension_load,tricep,,Triceps,False
ea_lat_pull_down_close_grip,Lat Pull Down Close Grip,elbow,elbow_extension_load,close grip,lats,Back,False
ea_long_lever_plank,Long Lever Plank,elbow,elbow_locked_support,plank,,Abdominals,False
ea_low_resistance_band_lying_bicep_curl,Low Resistance Band Lying Bicep Curl,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_low_resistance_band_lying_bicep_curl_half_repetition,Low Resistance Band Lying Bicep Curl Half Repetition,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_lying_neck_curls,Lying Neck Curls,elbow,elbow_curl_load,curls,,Calisthenics-Cardio-Plyo-Functional,False
ea_modified_hindu_push_up,Modified Hindu Push Up,elbow,elbow_locked_support,push up,"chest,shoulders,triceps",Yoga,False
ea_normal_push_up,Normal Push-up,elbow,elbow_locked_support,push up,chest,Chest,False
ea_one_arm_push_up,One Arm Push Up,elbow,elbow_locked_support,push up,,Chest,False
ea_overhand_tricep_stretching_single_arm,Overhand Tricep Stretching Single Arm,elbow,elbow_extension_load,tricep,triceps,Triceps,False
ea_overhead_extension_resistance_band_both_arms,Overhead Extension Resistance Band Both Arms,elbow,elbow_extension_load,overhead extension,triceps,Triceps,False
ea_overhead_triceps_stretch_side_angle,Overhead Triceps Stretch Side Angle,elbow,elbow_extension_load,triceps,triceps,Stretching - Mobility,False
ea_pike_push_up,Pike Push Up,elbow,elbow_locked_support,push up,shoulders,Triceps,False
ea_plank_cross_knee_drive,Plank Cross Knee Drive,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_plank_individual_arm_reach,Plank Individual Arm Reach,elbow,elbow_locked_support,plank,,Calisthenics-Cardio-Plyo-Functional,False
ea_plank_iytw,Plank IYTW,elbow,elbow_locked_support,plank,,Calisthenics-Cardio-Plyo-Functional,False
ea_plank_jack,Plank Jack,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_plank_knee_tucks,Plank Knee Tucks,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_plank_lunges,Plank Lunges,elbow,elbow_locked_support,plank,"core,lower_back,quads",Calisthenics-Cardio-Plyo-Functional,False
ea_plank_on_elbows,Plank on Elbows,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_plank_pushup,Plank Pushup,elbow,elbow_locked_support,plank,,Calisthenics-Cardio-Plyo-Functional,False
ea_plank_reach_through,Plank Reach Through,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_plank_reverse_fly_with_bottle,Plank Reverse Fly with Bottle,elbow,elbow_locked_support,plank,shoulders,Shoulders,False
ea_plank_shoulder_taps,Plank Shoulder Taps,elbow,elbow_locked_support,plank,core,Calisthenics-Cardio-Plyo-Functional,False
ea_plate_curl_to_overhead_press,Plate Curl to Overhead Press,elbow,elbow_curl_load,curl,,Biceps,False
ea_plate_curl_to_overhead_press_to_tricep_extension,Plate Curl to Overhead Press to Tricep Extension,elbow,elbow_extension_load,tricep,,Triceps,False
ea_plate_overhead_press_to_tricep_extension,Plate Overhead Press to Tricep Extension,elbow,elbow_extension_load,tricep,,Shoulders,False
ea_plate_overhead_tricep_extension,Plate Overhead Tricep Extension,elbow,elbow_extension_load,tricep,,Triceps,False
ea_preacher_curl_dumbbells_simultaneous,Preacher Curl Dumbbells Simultaneous,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_preacher_curl_ez_bar,Preacher Curl Ez Bar,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_preacher_curl_ez_bar_close_grip,Preacher Curl Ez Bar Close Grip,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_preacher_curl_ez_bar_wide_grip,Preacher Curl Ez Bar Wide Grip,elbow,elbow_curl_load,preacher,biceps,Biceps,False
ea_pull_up_normal_grip,Pull Up Normal Grip,elbow,elbow_flexion_load,pull up,"lats,biceps",Back,False
ea_pull_up_wide_grip,Pull Up Wide Grip,elbow,elbow_flexion_load,pull up,"lats,biceps",Back,False
ea_pull_up_wide_grip_front_view,Pull Up Wide Grip Front View,elbow,elbow_flexion_load,pull up,"lats,biceps",Back,False
ea_push_up_and_rotation,Push Up and Rotation,elbow,elbow_locked_support,push up,"chest,shoulders",Chest,False
ea_push_up_plus,Push Up Plus,elbow,elbow_locked_support,push up,"chest,shoulders",Chest,False
ea_push_ups_bodyweight,Push Ups Bodyweight,elbow,elbow_locked_support,push ups,chest,Chest,False
ea_resistance_band_assisted_push_up,Resistance Band Assisted Push-up,elbow,elbow_locked_support,push up,chest,Chest,False
ea_resistance_band_bent_leg_kickback_kneeling,Resistance Band Bent Leg Kickback (kneeling),elbow,elbow_extension_load,kickback,glutes,Legs,False
ea_resistance_band_leg_kickback,Resistance Band Leg Kickback,elbow,elbow_extension_load,kickback,glutes,Legs,False
ea_resistance_band_one_leg_kickback_bent_position,Resistance Band One Leg Kickback (bent Position),elbow,elbow_extension_load,kickback,glutes,Legs,False
ea_resistance_band_side_plank_glute_raise,Resistance Band Side Plank Glute Raise,elbow,elbow_locked_support,plank,glutes,Legs,False
ea_resistance_band_standing_balance_glute_kickback,Resistance Band Standing Balance Glute Kickback,elbow,elbow_extension_load,kickback,glutes,Legs,False
ea_resistance_band_standing_balance_glute_kickback_version_2,Resistance Band Standing Balance Glute Kickback (version 2),elbow,elbow_extension_load,kickback,glutes,Legs,False
ea_reverse_curl_barbell,Reverse Curl Barbell,elbow,elbow_curl_load,curl,,Biceps,False
ea_reverse_plank,Reverse Plank,elbow,elbow_locked_support,plank,,Abdominals,False
ea_ring_dips,Ring Dips,elbow,elbow_extension_load,dips,,Calisthenics-Cardio-Plyo-Functional,False
ea_scapula_push_up,Scapula Push Up,elbow,elbow_locked_support,push up,traps,Yoga,False
ea_side_plank,Side Plank,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_side_plank_oblique_crunch,Side Plank Oblique Crunch,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_side_plank_with_hip_lift,Side Plank with Hip Lift,elbow,elbow_locked_support,plank,core,Yoga,False
ea_side_to_side_push_up,Side to Side Push Up,elbow,elbow_locked_support,push up,"chest,triceps",Chest,False
ea_single_arm_overhead_extension_resistance_band,Single Arm Overhead Extension Resistance Band,elbow,elbow_extension_load,overhead extension,triceps,Triceps,False
