id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_hammer_strength_iso_lateral_leg_curl_single_leg,Hammer Strength Iso-lateral LEG Curl_single Leg,knee,knee_isolation,leg curl,hamstrings,Legs,True
ea_high_cable_kneeling_crunch,High Cable Kneeling Crunch,knee,knee_kneeling,kneeling,core,Abdominals,True
ea_high_resistance_band_kneeling_crunch,High Resistance Band Kneeling Crunch,knee,knee_kneeling,kneeling,core,Abdominals,True
ea_horizontal_leg_press,Horizontal Leg Press,knee,knee_loaded_flexion,leg press,,Legs,True
ea_horizontal_leg_press_calf_raise,Horizontal Leg Press Calf Raise,knee,knee_loaded_flexion,leg press,,Legs,True
ea_horizontal_leg_press_calf_raise_single_leg,Horizontal Leg Press Calf Raise Single Leg,knee,knee_loaded_flexion,leg press,,Legs,True
ea_horizontal_leg_press_single_leg,Horizontal Leg Press Single Leg,knee,knee_loaded_flexion,leg press,,Legs,True
ea_in_and_out_squats,In and Out Squats,knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_in_and_out_squats_jump_bodyweight,In and Out Squats Jump Bodyweight,knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_in_and_out_squats_jump_bodyweight_2,In and Out Squats Jump Bodyweight (2),knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_jack_knives,Jack Knives,knee,knee_impact,jack,core,Abdominals,True
ea_jogging,Jogging,knee,knee_impact,jogging,"quads,hamstrings,calves",Calisthenics-Cardio-Plyo-Functional,True
ea_jump_rope_alternating_foot,Jump Rope Alternating Foot,knee,knee_impact,jump,"calves,quads",Calisthenics-Cardio-Plyo-Functional,True
ea_jump_rope_basic_jump,Jump Rope Basic Jump,knee,knee_impact,jump,"calves,quads",Calisthenics-Cardio-Plyo-Functional,True
ea_jump_rope_double_bounce,Jump Rope Double Bounce,knee,knee_impact,jump,"calves,quads",Calisthenics-Cardio-Plyo-Functional,True
ea_jump_rope_face_pull,Jump Rope Face Pull,knee,knee_impact,jump,"traps,shoulders",Shoulders,True
ea_jump_rope_row,Jump Rope Row,knee,knee_impact,jump,"traps,shoulders",Back,True
ea_jumping_jack,Jumping Jack,knee,knee_impact,jumping,"calves,quads",Calisthenics-Cardio-Plyo-Functional,True
ea_jumping_lunge,Jumping Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_jumping_pistol_squat,Jumping Pistol Squat,knee,knee_loaded_flexion,pistol,,Legs,True
ea_kettlebell_bulgarian_split_squat_right,Kettlebell Bulgarian Split Squat Right,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_kettlebell_bulgarian_split_squat_right_side_view,Kettlebell Bulgarian Split Squat Right Side View,knee,knee_loaded_flexion,bulgarian,"quads,glutes",Legs,True
ea_kettlebell_half_kneeling_shoulder_press,Kettlebell Half Kneeling Shoulder Press,knee,knee_kneeling,kneeling,shoulders,Shoulders,True
ea_kettlebell_kneeling_one_arm_shoulder_press,Kettlebell Kneeling One Arm Shoulder Press,knee,knee_kneeling,kneeling,shoulders,Shoulders,True
ea_kettlebell_lateral_lunge,Kettlebell Lateral Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_kettlebell_reverse_lunge,Kettlebell Reverse Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_kettlebell_single_arm_clean_and_press,Kettlebell Single Arm Clean and Press,knee,knee_quad_dominant,press,"shoulders,quads,glutes",Calisthenics-Cardio-Plyo-Functional,True
ea_kettlebell_split_squat,Kettlebell Split Squat,knee,knee_loaded_flexion,split squat,"quads,glutes",Legs,True
ea_kettlebell_squats,Kettlebell Squats,knee,knee_loaded_flexion,squats,"quads,glutes",Legs,True
ea_kettlebell_step_up,Kettlebell Step-up,knee,knee_loaded_flexion,step up,"quads,glutes",Legs,True
ea_kettlebell_suitcase_squat,Kettlebell Suitcase Squat,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_kettlebell_sumo_squat,Kettlebell Sumo Squat,knee,knee_loaded_flexion,squat,"quads,glutes,adductors",Legs,True
ea_kettlebell_sumo_squat_version_2,Kettlebell Sumo Squat (version 2),knee,knee_loaded_flexion,squat,"quads,glutes,adductors",Legs,True
ea_kettlebell_sumo_squat_off_stepbox,Kettlebell Sumo Squat Off Stepbox,knee,knee_loaded_flexion,squat,"quads,glutes,adductors",Legs,True
ea_kneeling_hip_flexor_stretch,Kneeling Hip Flexor Stretch,knee,knee_kneeling,kneeling,lower_back,Stretching - Mobility,True
ea_kneeling_lat_floor_stretch,Kneeling Lat Floor Stretch,knee,knee_kneeling,kneeling,lats,Stretching - Mobility,True
ea_kneeling_leg_curl_machine,Kneeling Leg Curl Machine,knee,knee_isolation,leg curl,hamstrings,Legs,True
ea_kneeling_push_up,Kneeling Push-up,knee,knee_kneeling,kneeling,,Chest,True
ea_kneeling_squat_jumps_bodyweight,Kneeling Squat Jumps Bodyweight,knee,knee_loaded_flexion,squat,"quads,glutes",Legs,True
ea_kneeling_wrist_flexor_stretch,Kneeling Wrist Flexor Stretch,knee,knee_kneeling,kneeling,,Stretching - Mobility,True
ea_landmine_alternating_lunge_and_twist,Landmine Alternating Lunge and Twist,knee,knee_loaded_flexion,lunge,,Calisthenics-Cardio-Plyo-Functional,True
ea_landmine_alternating_lunge_to_chest_press,Landmine Alternating Lunge to Chest Press,knee,knee_loaded_flexion,lunge,,Calisthenics-Cardio-Plyo-Functional,True
ea_landmine_curtsy_lunge,Landmine Curtsy Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_landmine_goblet_curtsy_lunge,Landmine Goblet Curtsy Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_landmine_goblet_lateral_lunge,Landmine Goblet Lateral Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_landmine_hack_squat,Landmine Hack Squat,knee,knee_loaded_flexion,hack,,Legs,True
ea_landmine_half_kneeling_single_arm_overhead_press,Landmine Half Kneeling Single Arm Overhead Press,knee,knee_kneeling,kneeling,,Shoulders,True
ea_landmine_kneeling_alternating_overhead_press,Landmine Kneeling Alternating Overhead Press,knee,knee_kneeling,kneeling,,Shoulders,True
ea_landmine_kneeling_overhead_press,Landmine Kneeling Overhead Press,knee,knee_kneeling,kneeling,,Shoulders,True
ea_landmine_kneeling_twist,Landmine Kneeling Twist,knee,knee_kneeling,kneeling,,Abdominals,True
ea_landmine_lateral_lunge,Landmine Lateral Lunge,knee,knee_loaded_flexion,lunge,,Legs,True
ea_landmine_lunge_to_overhead_press,Landmine Lunge to Overhead Press,knee,knee_loaded_flexion,lunge,,Legs,True
ea_landmine_rotational_lift_to_press,Landmine Rotational Lift to Press,knee,knee_quad_dominant,press,,Calisthenics-Cardio-Plyo-Functional,False
ea_landmine_squat_and_press,Landmine Squat and Press,knee,knee_loaded_flexion,squat,,Legs,True
ea_lateral_box_jump,Lateral Box Jump,knee,knee_impact,box jump,,Legs,True
ea_leg_press_machine_close_stance,Leg Press Machine Close Stance,knee,knee_loaded_flexion,leg press,quads,Legs,True
ea_leg_press_machine_normal_stance,Leg Press Machine Normal Stance,knee,knee_loaded_flexion,leg press,quads,Legs,True
ea_leg_press_wide_high_stance,Leg Press Wide High Stance,knee,knee_loaded_flexion,leg press,quads,Legs,True
ea_leg_press_wide_high_stance_behind_view,Leg Press Wide High Stance Behind View,knee,knee_loaded_flexion,leg press,quads,Legs,True
ea_lever_leg_extension,Lever Leg Extension,knee,knee_isolation,leg extension,quads,Legs,True
ea_low_rotational_med_ball_chops_quarter_squat_rotating_med_ball_left_and_ride_across_core,"Low Rotational Med Ball Chops (quarter Squat, Rotating Med Ball Left and Ride Across Core)",knee,knee_loaded_flexion,squat,,Calisthenics-Cardio-Plyo-Functional,True
ea_lunge_front_kick,Lunge Front Kick,knee,knee_loaded_flexion,lunge,"quads,glutes",Legs,True
ea_lunge_pulses_bodyweight,Lunge Pulses Bodyweight,knee,knee_loaded_flexion,lunge,"quads,glutes",Legs,True
ea_lunge_reverse_with_resistance_band,Lunge Reverse with Resistance Band,knee,knee_loaded_flexion,lunge,"quads,glutes",Legs,True
ea_lunge_rotation_left_and_right_bodyweight,Lunge Rotation Left and Right Bodyweight,knee,knee_loaded_flexion,lunge,"quads,glutes,core",Legs,True
ea_lunge_to_knee_drive_left_bodyweight,Lunge to Knee Drive Left Bodyweight,knee,knee_loaded_flexion,lunge,"quads,glutes,lower_back",Legs,True
ea_lunge_to_knee_drive_right_bodyweight,Lunge to Knee Drive Right Bodyweight,knee,knee_loaded_flexion,lunge,"quads,glutes,lower_back",Legs,True
ea_lunges_alternate_leg_with_pause_bodyweight,Lunges Alternate Leg with Pause Bodyweight,knee,knee_loaded_flexion,lunges,"quads,glutes",Legs,True
