id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_smith_machine_press_decline,Smith Machine Press Decline,shoulder,shoulder_pressing,press,chest,Chest,True
ea_smith_machine_press_flat,Smith Machine Press Flat,shoulder,shoulder_pressing,press,chest,Chest,True
ea_smith_machine_press_incline,Smith Machine Press Incline,shoulder,shoulder_pressing,press,chest,Chest,True
ea_smith_machine_shoulder_press,Smith Machine Shoulder Press,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_standing_arnold_press_dumbbell,Standing Arnold Press Dumbbell,shoulder,shoulder_overhead,arnold,shoulders,Shoulders,True
ea_standing_dumbbell_alternate_shoulder_press,Standing Dumbbell Alternate Shoulder Press,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_standing_front_raise_dumbbell,Standing Front Raise Dumbbell,shoulder,shoulder_abduction,front raise,shoulders,Shoulders,True
ea_standing_shoulder_press_dumbbell,Standing Shoulder Press Dumbbell,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_standing_y_raise,Standing Y Raise,shoulder,shoulder_abduction,raise,shoulders,Shoulders,True
ea_supine_push_up,Supine Push Up,shoulder,shoulder_pressing,push up,"traps,shoulders",Back,True
ea_suspension_trainer_with_grips_chest_fly,Suspension Trainer with Grips Chest Fly,shoulder,shoulder_abduction,fly,chest,Chest,True
ea_suspension_trainer_with_grips_chin_up,Suspension Trainer with Grips Chin-up,shoulder,shoulder_overhead_pull,chin up,"biceps,lats",Back,True
ea_suspension_trainer_with_grips_decline_push_up,Suspension Trainer with Grips Decline Push-up,shoulder,shoulder_pressing,push up,chest,Chest,True
ea_suspension_trainer_with_grips_face_pull,Suspension Trainer with Grips Face Pull,shoulder,shoulder_abduction,face pull,traps,Shoulders,True
ea_suspension_trainer_with_grips_front_raise,Suspension Trainer with Grips Front Raise,shoulder,shoulder_abduction,front raise,shoulders,Shoulders,True
ea_suspension_trainer_with_grips_pike,Suspension Trainer with Grips Pike,shoulder,shoulder_overhead,pike,core,Calisthenics-Cardio-Plyo-Functional,True
ea_suspension_trainer_with_grips_pull_up,Suspension Trainer with Grips Pull-up,shoulder,shoulder_overhead_pull,pull up,lats,Back,True
ea_suspension_trainer_with_grips_push_up_to_side_plank,Suspension Trainer with Grips Push-up to Side Plank,shoulder,shoulder_pressing,push up,"chest,shoulders,core",Chest,True
ea_suspension_trainer_with_grips_rear_delt_row,Suspension Trainer with Grips Rear Delt Row,shoulder,shoulder_abduction,rear delt,"shoulders,traps",Shoulders,True
ea_suspension_trainer_with_grips_reverse_push_up,Suspension Trainer with Grips Reverse Push-up,shoulder,shoulder_pressing,push up,"chest,triceps",Chest,True
ea_suspension_trainer_with_grips_single_arm_rear_delt_row,Suspension Trainer with Grips Single Arm Rear Delt Row,shoulder,shoulder_abduction,rear delt,"shoulders,traps",Shoulders,True
ea_suspension_trainer_with_grips_split_fly,Suspension Trainer with Grips Split Fly,shoulder,shoulder_abduction,fly,shoulders,Shoulders,True
ea_svend_press_decline_bench,Svend Press Decline Bench,shoulder,shoulder_pressing,press,chest,Chest,True
ea_svend_press_flat_bench,Svend Press Flat Bench,shoulder,shoulder_pressing,press,chest,Chest,True
ea_svend_press_incline_bench,Svend Press Incline Bench,shoulder,shoulder_pressing,press,chest,Chest,True
ea_triceps_dip_machine,Triceps Dip Machine,shoulder,shoulder_pressing,dip,triceps,Triceps,True
ea_upright_row_barbell,Upright Row Barbell,shoulder,shoulder_abduction,upright row,shoulders,Back,True
ea_upright_row_cable_resistance_band,Upright Row Cable Resistance Band,shoulder,shoulder_abduction,upright row,shoulders,Shoulders,True
ea_upright_row_dumbbell,Upright Row Dumbbell,shoulder,shoulder_abduction,upright row,shoulders,Shoulders,True
ea_upright_row_ez_bar,Upright Row Ez Bar,shoulder,shoulder_abduction,upright row,shoulders,Shoulders,True
ea_weighted_standing_shoulder_press_with_plate,Weighted Standing Shoulder Press with Plate,shoulder,shoulder_overhead,shoulder press,shoulders,Shoulders,True
ea_wide_push_ups_bodyweight,Wide Push Ups Bodyweight,shoulder,shoulder_pressing,push ups,chest,Chest,True
ea_wild_thing_pose,Wild Thing Pose,shoulder,shoulder_loaded_arm_balance,wild thing,,Yoga,False
